BIL,NEGERI,MUKIM/DAERAH,Nama,LATITUD,LONGITUD,,,,
111,Johor,Mersing,Pulau Tokong Yu,2.124080556,104.2473778,,,,
112,Johor,Mersing,Pulau Mawar,2.618022222,103.7840194,,,,
113,Johor,Mersing,Pulau Lalang,2.566938889,103.8272583,,,,
114,Johor,Mersing,Pulau Pelandok,2.652986111,103.7494,,,,
115,Johor,Mersing,Pulau Ayam,2.645791667,103.7468389,,,,
116,Johor,Mersing,Pulau Kerengga,2.225708333,103.9595528,,,,
117,Johor,Mersing,Pulau Gurong ( Di Atas Pulau Harimau),2.566527778,103.94825,,,,
118,Johor,Mersing,Pulau Lilang,2.196258333,103.969925,,,,
119,Johor,Mersing,Pulau Belanak,2.350522222,103.9175056,,,,
120,Johor,Mersing,Pulau Achi (Pulau Mertang Barat),2.654666667,103.88,,,,
121,Johor,Mersing,Pulau Mertang (Pulau Mertang Tengah),2.6515,103.8835,,,,
122,Johor,Mersing,Pulau Mertang Timur,2.645166667,103.8883333,,,,
123,Johor,Mersing,Pulau Kerengga (Mukim Penyabong),2.623,103.7646667,,,,
124,Johor,Mersing,Pulau Rawa,2.520666667,103.975,,,,
125,Johor,Batu Pahat,Pulau Sialu,1.788658333,102.8839694,,,,
126,Johor,Kota Tinggi,Pulau Malang Berendam,1.359363889,104.1056433,,,,
127,Johor,Kota Tinggi,Pulau Chumbun,1.408691667,104.1007444,,,,
128,Johor,Kota Tinggi,Pulau Tagal,1.925272222,104.1177389,,,,
129,Johor,Kota Tinggi,Pulau Lima,1.365552778,104.2923556,,,,
130,Johor,Kota Tinggi,Pulau Geruda,1.378619444,104.3000861,,,,
131,Johor,Kota Tinggi,Pulau Besar,1.372491667,104.2941111,,,,
132,Johor,Kota Tinggi,Pulau Peak (Peak Rock),1.372688889,104.3114944,,,,
133,Johor,Kota Tinggi,Pulau Pemanggil,1.361425,104.2980222,,,,
134,Johor,Kota Tinggi,Pulau Che Kamat,1.352083333,104.2346444,,,,
135,Johor,Kota Tinggi,Pulau Malang Berdaun,1.357430556,104.0965472,,,,
136,Johor,Kota Tinggi,Pulau Malang Siajar,1.425819444,104.0843056,,,,
137,Johor,Pontian,Pulau Tunda,1.470233333,103.2356444,,,,
138,Johor,Pontian,Pulau Pisang,1.470997222,103.2555111,,,,
139,Johor,Pontian,Pulau Kukup,1.323630556,103.4246889,,,,
140,Johor,Pontian,Pulau Kemudi,1.468744444,103.2382389,,,,
141,Johor,Pontian,Pulau Sauh,1.472877778,103.2688167,,,,
142,Johor,Johor Bharu,Pulau Merambong,1.315544444,103.6098806,,,,
143,Johor,Johor Bharu,Pulau Nenas,1.427711111,104.9773917,,,,
144,Johor,Johor Bharu,Pulau Juling,1.526166667,104.0076667,,,,
145,Johor,Johor Bharu,Pulau Layang,1.589433333,103.9808333,,,,
146,Johor,Johor Bharu,Pulau Kayu Anak Kecil,1.647222222,103.9480556,,,,
147,Johor,Johor Bharu,Pulau Kayu Anak Besar,1.64165,103.9580917,,,,
148,Kedah,Langkawi,Pulau Tanjung Dendang,6.414883333,99.91449194,,,,
149,Kedah,Langkawi,Pulau Gua,6.466161111,99.82316667,,,,
150,Kedah,Langkawi,Pulau Kelam Baya,6.460580556,99.81885,,,,
151,Kedah,Langkawi,Pulau Chabang Besar,6.459269444,99.81880556,,,,
152,Kedah,Langkawi,Pulau Pasir,6.454522222,99.79574722,,,,
153,Kedah,Langkawi,Pulau Gasing,6.455163889,99.78976944,,,,
154,Kedah,Langkawi,Pulau Dangli,6.449233333,99.77766389,,,,
155,Kedah,Langkawi,Pulau Rebak Besar,6.296933333,99.69634167,,,,
156,Kedah,Langkawi,Pulau Rebak Kechil/ Pulau Rebak Kecil,6.29325,99.70941944,,,,
157,Kedah,Langkawi,Pulau Tepor,6.267680556,99.71818056,,,,
158,Kedah,Langkawi,Pulau Ular,6.258252778,99.74283056,,,,
159,Kedah,Langkawi,Pulau Selang,6.252569444,99.74421111,,,,
160,Kedah,Langkawi,Pulau Lalang,6.264263889,99.75653333,,,,
161,Kedah,Langkawi,Pulau Jerkom Besar,6.256255556,99.7714,,,,
162,Kedah,Langkawi,Pulau Jerkom Kechil/ Pulau Jerkom Kecil,6.251008333,99.78208333,,,,
163,Kedah,Langkawi,Pulau Bumbon Besar,6.286508333,99.86384722,,,,
164,Kedah,Langkawi,Pulau Bumbon Kechil,6.276569444,99.87015278,,,,
165,Kedah,Langkawi,Pulau Kerai,6.292847222,99.86869444,,,,
166,Kedah,Langkawi,Pulau Tanggok Kechil,6.273366667,99.873925,,,,
167,Kedah,Langkawi,Pulau Tanggok Besar,6.270211111,99.87912222,,,,
168,Kedah,Langkawi,Pulau Tiloi,6.266736111,99.88513889,,,,
169,Kedah,Langkawi,Pulau Kedera,6.305930556,99.89074167,,,,
170,Kedah,Langkawi,Pulau Timun,6.313652778,99.91354444,,,,
171,Kedah,Langkawi,Pulau Paku,6.307402778,99.93255556,,,,
172,Kedah,Langkawi,Pulau Chorong,6.314844444,99.93958333,,,,
173,Kedah,Langkawi,Pulau Beras Basah,6.2245,99.71628611,,,,
174,Kedah,Langkawi,Pulau Singa Besar,6.204788889,99.73329167,,,,
175,Kedah,Langkawi,Pulau Chupu,6.173622222,99.73140833,,,,
176,Kedah,Langkawi,Pulau Jong,6.223019444,99.75714722,,,,
